y,date,confirm,heal,dead
2020,01.31,2,0,0
2020,02.01,2,0,0
2020,02.02,2,0,0
2020,02.03,2,0,0
2020,02.04,2,0,0
2020,02.05,2,0,0
2020,02.06,2,0,0
2020,02.07,3,0,0
2020,02.08,3,0,0
2020,02.09,3,0,0
2020,02.10,3,0,0
2020,02.11,3,0,0
2020,02.12,3,0,0
2020,02.13,3,0,0
2020,02.14,3,0,0
2020,02.15,3,0,0
2020,02.16,3,0,0
2020,02.17,3,0,0
2020,02.18,3,0,0
2020,02.19,3,0,0
2020,02.20,3,0,0
2020,02.21,6,0,0
2020,02.22,20,0,2
2020,02.23,132,1,2
2020,02.24,230,2,6
2020,02.25,283,1,7
2020,02.26,374,1,12
2020,02.27,528,42,14
2020,02.28,655,45,17
2020,02.29,888,46,21
2020,03.01,1128,50,29
2020,03.02,1713,83,41
2020,03.03,2086,149,52
2020,03.04,2546,160,79
2020,03.05,3089,276,107
2020,03.06,3927,414,148
2020,03.07,4680,523,197
2020,03.08,6012,589,233
2020,03.09,7424,622,366
2020,03.10,9220,724,463
2020,03.11,10283,1004,631
2020,03.12,12462,1045,827
2020,03.13,15385,1258,1016
2020,03.14,17660,1439,1266
2020,03.15,21270,1966,1441
2020,03.16,24747,2335,1809
2020,03.17,27980,2749,2158
2020,03.18,31506,2941,2503
2020,03.19,36455,4025,2978
2020,03.20,41035,4440,3405
2020,03.21,47021,5129,4032
2020,03.22,53578,6072,4825
2020,03.23,59138,7024,5476
2020,03.24,63927,7432,6077
2020,03.25,69176,8326,6820
2020,03.26,74386,9362,7503
2020,03.27,80539,10361,8215
2020,03.28,86498,10950,9134
2020,03.29,92472,12384,10023
2020,03.30,97689,13030,10779
2020,03.31,101739,14620,11591
2020,04.01,105792,15729,12428
2020,04.02,110574,16847,13155
2020,04.03,115242,18278,13915
2020,04.04,119827,19758,14681
2020,04.05,124632,20996,15362
2020,04.06,128948,21815,15887
2020,04.07,132547,22837,16523
2020,04.08,135586,24392,17127
2020,04.09,139422,26491,17669
2020,04.10,143626,28470,18279
2020,04.11,147577,30455,18849
2020,04.12,152271,32534,19468
2020,04.13,156363,34211,19899
2020,04.14,159516,35435,20465
2020,04.15,162488,37130,21067
2020,04.16,165155,38092,21645
2020,04.17,168941,40164,22170
2020,04.18,172434,42727,22745
2020,04.19,175925,44927,23227
2020,04.20,178972,47055,23660
2020,04.21,181228,48877,24114
2020,04.22,183957,51600,24648
2020,04.23,187327,54543,25085
2020,04.24,189973,57576,25549
2020,04.25,192994,60498,25969
2020,04.26,195351,63120,26384
2020,04.27,197675,64928,26644
2020,04.28,199414,66624,26977
2020,04.29,201505,68941,27359
2020,04.30,203591,71252,27682
2020,05.01,205463,75945,27967
2020,05.02,207428,78249,28236
2020,05.03,209328,79914,28710
2020,05.04,210717,81654,28884
2020,05.05,211938,82879,29079
2020,05.06,213013,85231,29315
2020,05.07,214457,93245,29684
2020,05.08,215858,96276,29958
2020,05.09,217185,99023,30201
2020,05.10,218268,103031,30395
2020,05.11,219070,105186,30560
2020,05.12,219814,106587,30739
2020,05.13,221216,109039,30911
2020,05.14,222104,112541,31106
2020,05.15,223096,115288,31368
2020,05.16,223885,120205,31610
2020,05.17,224760,122810,31763
2020,05.18,225435,125176,31908
2020,05.19,225886,127326,32007
2020,05.20,226699,129401,32169
2020,05.21,227364,132282,32330
2020,05.22,228006,134560,32486
2020,05.23,228658,136720,32616
2020,05.24,229327,138840,32735
2020,05.25,229858,140479,32785
2020,05.26,230158,141981,32877
2020,05.27,230555,144658,32955
2020,05.28,231139,147101,33072
2020,05.29,231732,150604,33142
2020,05.30,232248,152844,33229
2020,05.31,232664,155633,33340
2020,06.01,232997,157507,33415
2020,06.02,233197,158355,33475
2020,06.03,233515,160092,33530
2020,06.04,233836,160938,33601
2020,06.05,234013,161895,33689
2020,06.06,234531,163781,33774
2020,06.07,234801,165078,33846
2020,06.08,234998,165837,33899
2020,06.09,235278,166584,33964
2020,06.10,235561,168646,34043
2020,06.11,235763,169939,34114
2020,06.12,236142,171338,34167
2020,06.13,236305,173085,34223
2020,06.14,236651,174865,34301
2020,06.15,236989,176370,34345
2020,06.16,237290,177010,34371
2020,06.17,237500,178526,34405
2020,06.18,237828,179455,34448
2020,06.19,238159,180544,34514
2020,06.20,238011,181907,34561
2020,06.21,238275,182453,34610
2020,06.22,238499,182893,34634
2020,06.23,238720,183426,34657
2020,06.24,238833,184585,34675
2020,06.25,239410,186111,34644
2020,06.26,239706,186725,34678
2020,06.27,239961,187615,34708
2020,06.28,240310,188891,34738
2020,06.29,240436,189196,34744
2020,06.30,240436,189196,34744
2020,07.01,240578,190248,34767
2020,07.02,240760,190717,34788
2020,07.03,240961,191083,34818
2020,07.04,241419,191944,34854
2020,07.05,241611,192108,34861
2020,07.06,241819,192241,34869
2020,07.07,241819,192241,34869
2020,07.08,242149,193640,34914
2020,07.09,242149,193640,34914
2020,07.10,242639,194273,34938
2020,07.11,242639,194273,34938
2020,07.12,242827,194579,34945
2020,07.13,243061,194928,34954
2020,07.14,243344,195441,34984
2020,07.15,243344,195441,34984
2020,07.16,243506,196016,34997
2020,07.17,243967,196483,35028
2020,07.18,244216,196806,35042
2020,07.19,244216,196806,35042
2020,07.20,244434,196949,35045
2020,07.21,244752,197431,35073
2020,07.22,244752,197431,35073
2020,07.23,245338,197842,35092
2020,07.24,245590,198192,35097
2020,07.25,245864,198320,35102
2020,07.26,245864,198320,35102
2020,07.27,246118,198446,35107
2020,07.28,246286,198593,35112
2020,07.29,246776,199031,35129
2020,07.30,246776,199031,35129
2020,07.31,247158,199796,35132
2020,08.01,247832,200229,35146
2020,08.02,248070,200460,35154
2020,08.03,248070,200460,35154
2020,08.04,248419,200766,35171
2020,08.05,248803,200976,35181
2020,08.06,248803,200976,35181
2020,08.07,249204,201323,35187
2020,08.08,249756,201642,35190
2020,08.09,250103,201947,35203
2020,08.10,250825,202248,35209
2020,08.11,251237,202461,35215
2020,08.12,251713,202697,35225
2020,08.13,251713,202697,35225
2020,08.14,252235,202923,35231
2020,08.15,253438,203640,35392
2020,08.16,253915,203786,35396
2020,08.17,254235,203968,35400
2020,08.18,254235,203968,35400
2020,08.19,255278,204506,35412
2020,08.20,256118,204686,35418
2020,08.21,257065,204960,35427
2020,08.22,257065,204960,35427
2020,08.23,259345,205470,35437
2020,08.24,260298,205662,35441
2020,08.25,260298,205662,35441
2020,08.26,262540,206329,35458
2020,08.27,263949,206554,35463
2020,08.28,265409,206902,35472
2020,08.29,266853,208224,35473
2020,08.30,268218,208536,35477
2020,08.31,268218,208536,35477
2020,09.01,269214,207653,35483
2020,09.02,271515,208201,35497
2020,09.03,272912,208490,35507
2020,09.04,272912,208490,35507
2020,09.05,276338,209610,35534
2020,09.06,277634,210015,35542
2020,09.07,278784,210238,35553
2020,09.08,280153,210801,35563
2020,09.09,281583,211272,35577
2020,09.10,283180,211885,35587
2020,09.11,284796,212432,35597
2020,09.12,286297,213191,35603
2020,09.13,287753,213634,35610
2020,09.14,288761,213950,35624
2020,09.15,288761,213950,35624
2020,09.16,291442,215265,35645
2020,09.17,293025,215954,35658
2020,09.18,294932,216807,35668
2020,09.19,296569,217716,35692
2020,09.20,298156,218351,35707
2020,09.21,299506,218703,35724
2020,09.22,300897,219670,35738
2020,09.23,302537,220665,35758
2020,09.24,302537,220665,35758
2020,09.25,306235,222716,35801
2020,09.26,308104,223693,35818
2020,09.27,309870,224417,35835
2020,09.28,309870,224417,35835
2020,09.29,313011,226506,35875
2020,09.30,314861,227704,35894
2020,10.01,317409,228844,35918
2020,10.02,319908,229970,35941
2020,10.03,322751,231217,35968
2020,10.04,325329,231914,35986
2020,10.05,327586,232681,36002
2020,10.06,330263,234099,36030
2020,10.07,330263,235303,36061
2020,10.08,333940,236363,36083
2020,10.09,343770,237549,36111
2020,10.10,343770,238525,36140
2020,10.11,349494,239709,36166
2020,10.12,359569,240600,36205
2020,10.13,365467,242028,36246
2020,10.14,372799,244065,36289
2020,10.15,381602,245964,36372
2020,10.16,391611,247872,36427
2020,10.17,402536,249127,36474
2020,10.18,414241,251461,36543
2020,10.19,423578,252959,36616
2020,10.20,434449,255005,36705
2020,10.21,449648,257374,36832
2020,10.22,465726,259456,36968
2020,10.23,484869,261808,37059
2020,10.24,504509,264117,37210
2020,10.25,504509,264117,37210
2020,10.26,525782,266203,37338
2020,10.27,542789,268626,37479
2020,10.28,564778,271988,37700
2020,10.29,589766,275404,37905
2020,10.30,616595,279282,38122
2020,10.31,647674,283567,38321
2020,11.01,679430,289426,38618
2020,11.02,709335,292380,38826
2020,11.03,731588,296017,39059
2020,11.04,759829,302275,39412
2020,11.05,790377,307378,39764
2020,11.06,824879,312339,40192
2020,11.07,862681,322925,40638
2020,11.08,902490,328891,41063
2020,11.09,935104,335074,41394
2020,11.10,960373,345289,41750
2020,11.11,995463,363023,42330
2020,11.12,1028424,372113,42953
2020,11.13,1066401,387758,43589
2020,11.14,1107303,399238,44139
2020,11.15,1144552,411434,44683
2020,11.16,1178529,420810,45229
2020,11.17,1205881,442364,45733
2020,11.18,1238072,457798,46464
2020,11.19,1272352,481967,47217
2020,11.20,1308528,498987,47870
2020,11.21,1345767,520022,48569
